"artist","song","song_length","session_id","item_in_session"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","277.15873","961","0"
"Jimi Hendrix","Woodstock Inprovisation","239.82975","961","1"
"Building 429","Majesty (LP Version)","300.61669","961","2"
"The B-52's","Love Shack","321.54077","107","0"
"Die Mooskirchner","Frisch und g'sund","169.29914","107","1"
"Carrie Underwood","Look At Me","195.70893","107","2"
"No Te Va Gustar","Ya EntendÃÂ­","246.43873","833","0"
"The Velvet Underground / Nico","All Tomorrow's Parties","360.09751","833","1"
"Snoop Dogg / Jamie Foxx","Psst!","179.35628","833","2"
"Dixie Chicks","There's Your Trouble","201.01179","833","3"
"Linkin Park","Given Up (Album Version)","189.28281","833","5"
"Alice In Chains","Take Her Out","239.35955","934","0"
"Florence + The Machine","My Boy Builds Coffins","176.69179","926","1"
"Spoon","The Mystery Zone","299.20608","968","0"
"Alice In Chains","Would?","223.26812","917","1"
"Natalie Walker","Colorblind","191.84281","917","2"
"Traveling Wilburys","End Of The Line","207.59465","940","0"
"Cherokee","Relax","414.6673","960","0"
"NOFX","The Decline","1099.78077","960","1"
"Cameo","Word Up!","211.98322","960","2"
"Natalia Lafourcade","Look Outside","264.25424","879","0"
"J Dilla","Won't Do","232.46322","879","1"
"Sergio Mendes","Never Gonna Let You Go","254.85016","879","2"
"Jarabe De Palo","En Lo Puro No Hay Futuro","205.08689","879","3"
"Carrie Underwood","I Told You So","257.88036","879","4"
"Enigma","Je T'aime Till My Dying Day","258.71628","138","0"
"Kelly Clarkson","The Trouble With Love Is","221.09995","879","5"
"Timbaland & Magoo","Put 'Em On","279.7971","879","6"
"The Wombats","Tales of Girls_ Boys and Marsupials (album version)","69.95546","138","1"
"Andrew Bird","Skin Is_ My","316.47302","138","2"
"Colin James","Just Came Back","298.52689","879","8"
"Los Wawanco","La Casita Blanca","165.79873","871","0"
"Dancing DJ's v Roxette","Fading Like A Flower (Extended Mix)","370.78159","879","9"
"Robert Rich & Alio Die","Sirena","375.92771","879","10"
